Population,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk
"Liberia","117","Notavailable","2.3","4.0","0.87",
"Togo","141","Notavailable","1.7","3.3","0.81",
"Eritrea","110","Notavailable","3.1","5.0","1.03",
"Lesotho","95","Notavailable","4.4","6.0","1.51",
"Barbados","75","Notavailable","26.1","12.3","3.37",
"Botswana","116","Notavailable","4.9","7.0","1.57",
"Fiji","80","Notavailable","8.9","9.4","2.12",
"Mauritania","103","Notavailable","2.2","3.9","0.84",
"The Republic of the Gambia","57","Notavailable","2.4","5.5","1.75",
"Central African Republic","86","Notavailable","1.8","3.7","0.75",
"Samoa","55","Notavailable","27.7","35.9","11.04",
"Gabon","91","Notavailable","4.1","6.5","1.29",
"Bhutan","68","Notavailable","8.8","10.5","1.80",
"Cabo Verde","78","Notavailable","14.0","16.7","5.74",
"Maldives","51","Notavailable","9.4","14.3","3.73",
"French Guiana","45","Notavailable","15.1","17.5","4.70",
"Congo, Republic of","57","Notavailable","1.0","2.3","0.66",
"Bahamas","44","Notavailable","11.2","9.1","2.79",
"Guyana","45","Notavailable","5.7","5.5","1.43",
"Solomon Islands","38","Notavailable","5.5","9.6","1.69",
"Saint Lucia","37","Notavailable","20.1","14.7","3.37",
"Belize","26","Notavailable","6.5","9.0","2.05",
"Guinea-Bissau","36","Notavailable","1.8","3.6","0.47",
"Djibouti","38","Notavailable","3.8","4.8","0.97",
"Eswatini","31","Notavailable","2.7","4.6","1.19",
"Equatorial Guinea","36","Notavailable","2.6","5.2","0.76",
"Sao Tome and Principe","18","Notavailable","8.2","13.7","4.55",
"Vanuatu","20","Notavailable","6.5","11.1","1.92",
"Comoros","15","Notavailable","1.7","3.3","0.57",
