Population,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk
"Kyrgyzstan","104","[57.1-189.5]","1.6","1.7","0.23",
"Togo","98","[50.7-189.5]","1.2","2.3","0.88",
"Albania","92","[40.1-211.2]","3.2","2.0","0.32",
"Rwanda","87","[30.2-250.7]","0.67","1.0","0.13",
"Trinidad and Tobago","82","[26.5-253.7]","5.9","4.5","0.54",
"Eritrea","80","[26.2-244.5]","2.3","3.3","0.51",
"Burkina Faso","80","[16.2-395.3]","0.38","0.76","0.16",
"Luxembourg","80","[16.3-391.9]","12.8","10.0","0.99",
"Qatar","77","[35.2-168.5]","2.7","2.6","0.39",
"Turkmenistan","73","[64.6-82.5]","1.2","1.4","0.20",
"Burundi","73","[23.9-223.1]","0.61","1.2","0.17",
"Cabo Verde","72","[16.6-312.1]","12.9","15.3","2.06",
"Fiji","68","[58.2-79.4]","7.6","7.7","1.52",
"Zambia","61","[23.7-156.7]","0.33","0.85","0.21",
"Sierra Leone","58","[42.4-79.3]","0.73","1.3","0.36",
"Malta","57","[42.0-77.3]","12.9","8.7","1.13",
"France, New Caledonia","57","[41.2-78.8]","20.0","16.0","1.90",
"French Polynesia","56","[38.4-81.6]","19.9","16.1","2.02",
"North Macedonia","56","[22.6-138.5]","2.7","1.8","0.23",
"Mongolia","45","[30.4-66.6]","1.4","1.5","0.29",
"Solomon Islands","43","[21.1-87.7]","6.3","9.0","2.37",
"Benin","42","[13.4-131.8]","0.35","0.56","0.06",
"France, La Réunion","39","[27.1-56.1]","4.4","3.5","0.40",
"France, Martinique","38","[26.3-55.0]","10.1","6.9","0.85",
"Bahrain","36","[23.2-55.8]","2.1","2.4","0.42",
"Guinea","35","[14.1-86.9]","0.27","0.50","0.14",
"Mauritania","34","[6.3-182.8]","0.73","1.3","0.39",
"Montenegro","32","[21.1-48.5]","5.1","3.8","0.44",
"Mauritius","30","[20.2-44.5]","2.4","1.6","0.25",
"Namibia","30","[20.4-44.0]","1.2","1.5","0.18",
"Brunei Darussalam","29","[16.9-49.7]","6.6","6.2","1.33",
"Central African Republic","28","[6.7-117.3]","0.58","1.1","0.17",
"Djibouti","27","[8.8-82.5]","2.7","3.1","0.43",
"Tajikistan","27","[11.0-66.1]","0.28","0.40","0.08",
"Iceland","27","[18.0-40.6]","7.9","5.8","0.80",
"Liberia","24","[4.5-129.0]","0.47","0.83","0.27",
"France, Guadeloupe","23","[14.9-35.5]","5.7","4.5","0.51",
"Suriname","21","[17.7-24.9]","3.6","3.4","0.50",
"Bahamas","21","[20.1-21.9]","5.3","4.6","0.51",
"Vanuatu","20","[6.7-59.6]","6.5","9.7","2.65",
"Maldives","19","[7.1-50.8]","3.5","4.5","1.09",
"Barbados","18","[16.3-19.9]","6.3","3.5","0.65",
"Samoa","15","[9.9-22.8]","7.6","8.9","1.23",
"Timor-Leste","14","[6.6-29.8]","1.1","1.4","0.21",
"Gabon","14","[3.7-53.1]","0.63","0.82","0.09",
