Population,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk
"Ghana","29","[5.3-159.6]","0.09","0.24","0.15",
"United Arab Emirates","29","[14.3-58.7]","0.29","0.48","0.10",
"Jordan","28","[14.7-53.3]","0.27","0.37","0.08",
"Botswana","28","[17.2-45.6]","1.2","1.8","0.73",
"Tajikistan","25","[13.8-45.4]","0.26","0.45","0.21",
"France, New Caledonia","24","[15.1-38.2]","8.4","6.6","1.42",
"Lao People's Democratic Republic","24","[4.4-130.0]","0.33","0.46","0.14",
"Central African Republic","23","[8.9-59.4]","0.48","1.1","0.24",
"El Salvador","22","[9.5-51.0]","0.34","0.27","0.09",
"Gaza Strip and West Bank","22","[5.3-92.1]","0.43","0.71","0.10",
"Sierra Leone","21","[13.5-32.5]","0.26","0.57","0.11",
"French Polynesia","21","[11.4-38.7]","7.5","5.9","0.86",
"Libya","19","[4.3-84.5]","0.28","0.32","0.08",
"Benin","18","[3.6-90.7]","0.15","0.28","0.05",
"France, Martinique","17","[9.4-30.7]","4.5","1.9","0.45",
"Oman","16","[6.0-42.5]","0.31","0.50","0.08",
"Liberia","15","[4.2-53.3]","0.30","0.56","0.14",
"Jamaica","13","[5.2-32.2]","0.44","0.34","0.11",
"Mauritania","13","[3.7-46.2]","0.28","0.60","0.12",
"Belize","12","[11.2-12.8]","3.0","3.8","1.07",
"France, Guadeloupe","11","[5.5-22.2]","2.7","1.5","0.31",
"Kuwait","10","[3.9-25.7]","0.23","0.25","0.05",
"French Guiana","10","[3.9-25.5]","3.3","3.9","0.60",
"Gabon","9","[1.7-48.6]","0.40","0.71","0.39",
"Mongolia","8","[3.5-18.2]","0.24","0.35","0.11",
"Eritrea","7","[1.7-28.1]","0.20","0.32","0.09",
"Fiji","7","[6.6-7.4]","0.78","1.0","0.58",
"Lesotho","6","[2.0-18.1]","0.28","0.40","0.08",
"Cabo Verde","6","[1.2-29.9]","1.1","1.7","0.28",
"Guinea-Bissau","6","[1.7-21.3]","0.30","0.72","0.17",
"Mauritius","5","[2.0-12.6]","0.39","0.21","0.10",
"Timor-Leste","5","[0.90-27.1]","0.38","0.56","0.20",
"Bhutan","5","[2.8-8.9]","0.65","0.71","0.25",
"Trinidad and Tobago","5","[1.0-24.9]","0.36","0.27","0.08",
"Suriname","4","[3.4-4.7]","0.68","0.60","0.21",
