Population,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk
"Congo, Republic of","410","[326.1-515.5]","14.9","43.3","14.53",
"Sierra Leone","401","[362.5-443.5]","10.1","27.4","10.51",
"Libya","400","[281.3-568.7]","11.5","18.6","7.80",
"Luxembourg","392","[273.6-561.7]","123.8","71.3","17.85",
"Namibia","343","[304.9-385.9]","27.8","66.8","23.94",
"Malta","336","[240.8-468.8]","151.7","60.2","16.92",
"Nepal","329","[229.9-470.9]","2.5","3.0","1.33",
"Barbados","279","[176.8-440.3]","200.6","110.3","22.43",
"Guyana","271","[127.5-575.8]","68.5","71.8","23.26",
"Central African Republic","270","[137.0-532.2]","11.3","33.3","11.37",
"United Arab Emirates","270","[214.3-340.3]","3.9","13.4","4.45",
"Mauritania","268","[36.9-1946.1]","11.5","28.4","10.82",
"Kuwait","255","[205.9-315.8]","9.8","19.6","8.27",
"Niger","253","[47.3-1353.8]","2.1","5.6","1.95",
"Cambodia","244","[124.5-478.4]","3.0","5.3","2.18",
"Mauritius","238","[177.0-320.0]","37.9","25.1","12.00",
"Iceland","220","[169.3-285.8]","128.4","68.3","16.65",
"Bahamas","201","[141.7-285.1]","105.2","98.0","24.91",
"Fiji","198","[188.8-207.6]","43.6","48.6","9.67",
"Gaza Strip and West Bank","191","[54.3-672.2]","7.4","16.7","5.99",
"Oman","189","[141.0-253.4]","5.6","13.8","3.73",
"Botswana","181","[123.6-265.1]","15.9","29.7","10.17",
"France, New Caledonia","172","[141.0-209.8]","119.9","95.1","23.97",
"Yemen","168","[56.8-496.5]","1.1","2.8","0.95",
"Lesotho","163","[105.2-252.7]","15.4","30.1","11.68",
"Suriname","154","[110.7-214.2]","52.2","57.8","20.37",
"Gabon","145","[82.1-256.1]","12.8","26.8","8.30",
"Montenegro","136","[109.8-168.4]","43.8","23.3","7.70",
"Saint Lucia","135","[91.8-198.6]","149.3","103.2","28.24",
"Kyrgyzstan","133","[99.2-178.3]","4.1","7.5","2.53",
"French Polynesia","131","[101.4-169.3]","92.1","73.3","22.00",
"Turkmenistan","118","[80.9-172.1]","4.0","6.3","1.56",
"French Guiana","112","[83.5-150.3]","75.8","93.4","23.70",
